task_losses,recourse_flow,dataset,model
2332.9311986777875,0.0,close,io
1093.8859179048568,0.0,close,io
3.388239331695163e8,0.33882292316951634,close,io
1090.3339297192724,0.0,close,io
990.7640535761369,0.0,close,io
1833.88247610657,0.0,close,io
1491.3669485367668,0.0,close,io
1878.6735713966073,0.0,close,io
1307.969141793574,0.0,close,io
1378.6937135619771,0.0,close,io
1899.1859329308602,0.0,close,io
1877.9894233690875,0.0,close,io
1092.378611591766,0.0,close,io
1072.5235982667373,0.0,close,io
1095.3220645538695,0.0,close,io
1052.421776573978,0.0,close,io
5.3869424830366e9,5.3869414730366,close,io
1043.350997813486,0.0,close,io
1233.8477107576316,0.0,close,io
1671.6943378367837,0.0,close,io
1558.4705040758854,0.0,close,io
1656.8046519226364,0.0,close,io
1073.6876921345192,0.0,close,io
2499.818856190169,0.0,close,io
970.8590423374867,0.0,close,io
1262.0137488498249,0.0,close,io
1109.9610233008711,0.0,close,io
1096.759727099533,0.0,close,io
1082.885990452107,0.0,close,io
1565.9566229065836,0.0,close,io
2332.9311986777875,0.0,close,linreg
1093.8859179048568,0.0,close,linreg
3.388239331695163e8,0.33882292316951634,close,linreg
1090.3339297192724,0.0,close,linreg
890.7640535761369,0.0,close,linreg
1833.88247610657,0.0,close,linreg
1491.3669485367668,0.0,close,linreg
1878.6735713966073,0.0,close,linreg
1.97969242793574e9,1.97969141793574,close,linreg
1378.6937135619771,0.0,close,linreg
1899.1859329308602,0.0,close,linreg
1877.9894233690875,0.0,close,linreg
1092.378611591766,0.0,close,linreg
1072.5235982667373,0.0,close,linreg
995.3220645538694,0.0,close,linreg
1052.421776573978,0.0,close,linreg
5.3869424830366e9,5.3869414730366,close,linreg
943.350997813486,0.0,close,linreg
1233.8477107576316,0.0,close,linreg
1671.6943378367837,0.0,close,linreg
1558.4705040758854,0.0,close,linreg
1656.8046519226364,0.0,close,linreg
1073.6876921345192,0.0,close,linreg
2499.818856190169,0.0,close,linreg
970.8590423374867,0.0,close,linreg
1262.0137488498249,0.0,close,linreg
1109.9610233008711,0.0,close,linreg
1096.759727099533,0.0,close,linreg
1082.885990452107,0.0,close,linreg
1565.9566229065836,0.0,close,linreg
2332.9311986777875,0.0,wide,io
1093.8859179048568,0.0,wide,io
3.388239331695163e8,0.33882292316951634,wide,io
1090.3339297192724,0.0,wide,io
990.7640535761369,0.0,wide,io
1833.88247610657,0.0,wide,io
1491.3669485367668,0.0,wide,io
1878.6735713966073,0.0,wide,io
1307.969141793574,0.0,wide,io
1378.6937135619771,0.0,wide,io
1899.1859329308602,0.0,wide,io
1877.9894233690875,0.0,wide,io
1092.378611591766,0.0,wide,io
1072.5235982667373,0.0,wide,io
1095.3220645538695,0.0,wide,io
1052.421776573978,0.0,wide,io
5.3869424830366e9,5.3869414730366,wide,io
1043.350997813486,0.0,wide,io
1233.8477107576316,0.0,wide,io
1671.6943378367837,0.0,wide,io
1558.4705040758854,0.0,wide,io
1656.8046519226364,0.0,wide,io
1073.6876921345192,0.0,wide,io
2499.818856190169,0.0,wide,io
970.8590423374867,0.0,wide,io
1262.0137488498249,0.0,wide,io
1109.9610233008711,0.0,wide,io
1096.759727099533,0.0,wide,io
1082.885990452107,0.0,wide,io
1565.9566229065836,0.0,wide,io
2332.9311986777875,0.0,wide,linreg
1093.8859179048568,0.0,wide,linreg
3.388239331695163e8,0.33882292316951634,wide,linreg
1090.3339297192724,0.0,wide,linreg
890.7640535761369,0.0,wide,linreg
1833.88247610657,0.0,wide,linreg
1491.3669485367668,0.0,wide,linreg
1878.6735713966073,0.0,wide,linreg
1.97969242793574e9,1.97969141793574,wide,linreg
1378.6937135619771,0.0,wide,linreg
1899.1859329308602,0.0,wide,linreg
1877.9894233690875,0.0,wide,linreg
1092.378611591766,0.0,wide,linreg
1072.5235982667373,0.0,wide,linreg
995.3220645538694,0.0,wide,linreg
1052.421776573978,0.0,wide,linreg
5.3869424830366e9,5.3869414730366,wide,linreg
943.350997813486,0.0,wide,linreg
1233.8477107576316,0.0,wide,linreg
1671.6943378367837,0.0,wide,linreg
1558.4705040758854,0.0,wide,linreg
1656.8046519226364,0.0,wide,linreg
1073.6876921345192,0.0,wide,linreg
2499.818856190169,0.0,wide,linreg
970.8590423374867,0.0,wide,linreg
1262.0137488498249,0.0,wide,linreg
1109.9610233008711,0.0,wide,linreg
1096.759727099533,0.0,wide,linreg
1082.885990452107,0.0,wide,linreg
1565.9566229065836,0.0,wide,linreg
